	Бренд	Наименование	Цена	Ссылка	Модель	Изображения	Категория	Ширина оправы (мм)	Ширина линзы (мм)	Высота линзы (мм)	Мост (мм)	Длина заушника (мм)	Материал 	Стиль	Строение оправы	Цвет оправы	Цвет заушника оправы	Форма очков	Сфера	Цилиндр	Индекс преломления	Дизайн 	Покрытие	Время доставки	Материал линз	Цвет линз	Вес (кг)	Размер (см)	Тонировка 	Свойства линз	Аддидация (Add),дигрессия
0	Balenciaga	Оправа Balenciaga, BAL 0108, 8O0	6650	https://www.netoptik.ru/frames/oprava-balenciaga-bal-0108-8o0	BAL 0108, 8O0	['https://www.netoptik.ru/image/cache/data/med_opravi/BALENCIAGA/balenciagabal01088o0s213-600x600.jpg', 'https://www.netoptik.ru/image/cache/data/med_opravi/BALENCIAGA/balenciagabal01088o0s231-600x600.jpg', 'https://www.netoptik.ru/image/cache/data/med_opravi/BALENCIAGA/balenciagabal01088o0s222-600x600.jpg']	оправы для очков	128	55	40	16	140	комбинированный	унисекс	ободковая	черепаховый	серебряный	кошки (кошачий глаз)													
1	Boss Orange	Оправа Boss Orange, BO 0329, YZ4	6500	https://www.netoptik.ru/frames/men-frames/oprava-boss-orange-bo0329-yz4	BO 0329, YZ4	['https://www.netoptik.ru/image/cache/catalog/Boss%20Orange/boss-orange-bo0329-yz4-s2-1%20(3)-600x600.jpg', 'https://www.netoptik.ru/image/cache/catalog/Boss%20Orange/boss-orange-bo0329-yz4-s2-2%20(2)-600x600.jpg', 'https://www.netoptik.ru/image/cache/catalog/Boss%20Orange/boss-orange-bo0329-yz4-s2-3%20(1)-600x600.jpg']	мужские оправы для очков	140	57	35	16	140	металл	мужские	ободковая	черный		прямоугольные													
2	Boss Hugo Boss	Оправа Boss Hugo Boss, BOSS 1312, 003	13500	https://www.netoptik.ru/frames/men-frames/oprava-boss-hugo-boss-boss1312-003	BOSS 1312, 003	['https://www.netoptik.ru/image/cache/catalog/Boss%20Hugo%20Boss/boss-hugo-boss-boss1312-003-s2-1%20(2)-600x600.jpg', 'https://www.netoptik.ru/image/cache/catalog/Boss%20Hugo%20Boss/boss-hugo-boss-boss1312-003-s2-2%20(1)-600x600.jpg', 'https://www.netoptik.ru/image/cache/catalog/Boss%20Hugo%20Boss/boss-hugo-boss-boss1312-003-s2-3%20(3)-600x600.jpg']	оправы для очков	143	57	42	16	145	комбинированный	мужские	ободковая	черный		прямоугольные													
3	Boss Hugo Boss	Оправа Boss Hugo Boss, BOSS 1246, CNI	13500	https://www.netoptik.ru/frames/men-frames/oprava-boss-hugo-boss-boss1246-cni	BOSS 1246, CNI	['https://www.netoptik.ru/image/cache/catalog/Boss%20Hugo%20Boss/boss-hugo-boss-boss1246-cni-s2-1-600x600.jpg', 'https://www.netoptik.ru/image/cache/catalog/Boss%20Hugo%20Boss/boss-hugo-boss-boss1246-cni-s2-2-600x600.jpg', 'https://www.netoptik.ru/image/cache/catalog/Boss%20Hugo%20Boss/boss-hugo-boss-boss1246-cni-s22-3-600x600.jpg']	оправы для очков	142	56	40	19	150	металл	мужские	леска	темно-синий		прямоугольные													
4	Carrera	Оправа Carrera, CA 6660, VBP	6800	https://www.netoptik.ru/frames/woman-frames/oprava-carrera-ca6660-vbp	CA 6660, VBP	['https://www.netoptik.ru/image/cache/data/carrera-ca6660-vbp-s2-1%20(3)-600x600.jpg', 'https://www.netoptik.ru/image/cache/data/carrera-ca6660-vbp-s2-3%20(1)-600x600.jpg', 'https://www.netoptik.ru/image/cache/data/carrera-ca6660-vbp-s2-2%20(2)-600x600.jpg']	женские оправы для очков	130	48	37	22	145	металл	женский	леска	голубой		прямоугольные													
5	Carrera	Оправа Carrera, CARRERA HYPERFIT 14, KB7	8000	https://www.netoptik.ru/frames/men-frames/oprava-carrera-carrera-hyperfit14-kb7	CARRERA HYPERFIT 14, KB7	['https://www.netoptik.ru/image/cache/catalog/Carrera/carrera-hyperfit14-kb7-s2-1%20(2)-600x600.jpg', 'https://www.netoptik.ru/image/cache/catalog/Carrera/carrera-hyperfit14-kb7-s2-2%20(3)-600x600.jpg', 'https://www.netoptik.ru/image/cache/catalog/Carrera/carrera-hyperfit14-kb7-s2-3%20(1)-600x600.jpg', 'https://www.netoptik.ru/image/cache/catalog/Carrera/carrera-futlyr-s2-1-600x600.jpg']	мужские оправы для очков	136	53	31	16	140	комбинированный	мужские	ободковая	серый		прямоугольные													
6	Carrera	Оправа Carrera, CA 6165, T0N	4000	https://www.netoptik.ru/frames/men-frames/oprava-carrera-ca-6165-t0n	CA 6165, T0N	['https://www.netoptik.ru/image/cache/data/med_opravi/CARRERA/carreraca6165t0ns213-600x600.jpg', 'https://www.netoptik.ru/image/cache/data/med_opravi/CARRERA/carreraca6165t0ns231-600x600.jpg', 'https://www.netoptik.ru/image/cache/data/med_opravi/CARRERA/carreraca6165t0ns222-600x600.jpg']	мужские оправы для очков	130	51	42	18	140	комбинированный	мужские	ободковая	коричневый+прозрачный	серебряный	круглые													
7	Emporio Armani	Оправа Emporio Armani, EA 9595, CSY	6500	https://www.netoptik.ru/frames/men-frames/oprava-emporio-armani-ea-9595-csy	EA 9595, CSY	['https://www.netoptik.ru/image/cache/data/med_opravi/EMPORIO%20ARMANI/emporioarmaniea9595csys213-600x600.jpg', 'https://www.netoptik.ru/image/cache/data/med_opravi/EMPORIO%20ARMANI/emporioarmaniea9595csys231-600x600.jpg', 'https://www.netoptik.ru/image/cache/data/med_opravi/EMPORIO%20ARMANI/emporioarmaniea9595csys222-600x600.jpg']	мужские оправы для очков	130	54	28	16	135	комбинированный	мужские	леска	светло-оливковый	хаки	прямоугольные													
8	Emporio Armani	Оправа Emporio Armani, EA 3173-5017	9200	https://www.netoptik.ru/sale/opravi-dlya-ochkov/oprava-emporio-armani-ea3173-5017	EA 3173-5017	['https://www.netoptik.ru/image/cache/catalog/Emporio%20Armani/emporio-armani-ea3173-5017-s2-1%20(1)-600x600.jpg', 'https://www.netoptik.ru/image/cache/catalog/Emporio%20Armani/emporio-armani-ea3173-5017-s2-2%20(2)-600x600.jpg', 'https://www.netoptik.ru/image/cache/catalog/Emporio%20Armani/emporio-armani-ea3173-5017-s2-3%20(3)-600x600.jpg']	оправы для очков	135	53	41	17	140	пластик	женский	ободковая	черный		квадратные													
9	Emporio Armani	Оправа Emporio Armani, EA 1052-3070	9200	https://www.netoptik.ru/sale/opravi-dlya-ochkov/oprava-emporio-armani-ea1052-3070	EA 1052-3070	['https://www.netoptik.ru/image/cache/catalog/Emporio%20Armani/emporio-armani-ea1052-3155-s2-1%20(2)-600x600.jpg', 'https://www.netoptik.ru/image/cache/catalog/Emporio%20Armani/emporio-armani-ea1052-3155-s2-2%20(1)-600x600.jpg', 'https://www.netoptik.ru/image/cache/catalog/Emporio%20Armani/emporio-armani-ea1052-3155-s2-3%20(3)-600x600.jpg']	оправы для очков	138	55	34	17	140	комбинированный	мужские	ободковая	черный, графит		прямоугольные													
