	Бренд	Модель	Ширина линзы (мм)	Мост (мм)	Длина заушника (мм)	Ширина оправы (мм)
0	Balenciaga	BAL 0108, 8O0	55	16	140	128
1	Boss Orange	BO 0329, YZ4	57	16	140	140
2	Boss Hugo Boss	BOSS 1312, 003	57	16	145	143
3	Boss Hugo Boss	BOSS 1246, CNI	56	19	150	142
4	Carrera	CA 6660, VBP	48	22	145	130
5	Carrera	CARRERA HYPERFIT 14, KB7	53	16	140	136
6	Carrera	CA 6165, T0N	51	18	140	130
7	Emporio Armani	EA 9595, CSY	54	16	135	130
8	Emporio Armani	EA 3173-5017	53	17	140	135
9	Emporio Armani	EA 1052-3070	55	17	140	138
10	Emporio Armani	EA 1041-3003 (55)	55	17	140	138
11	Emporio Armani	EA 9765, FSW	48	20	145	135
12	Gucci	GG 1006, 4GX	54	16	140	135
13	Max&amp;co	MAX&amp;CO 220, 6YU	53	16	135	135
14	Marc Jacobs	MJ 370, 086	53	18	140	135
15	Maxmara	MM 1418, 000	57	17	140	133
16	Marc Jacobs	Оправа Marc  Jacobs, MARC 258, PJP	52	14	140	135
17	Marc By Marc Jacobs	Оправа Marc by Marc Jacobs MMJ 488 9O5	54	16	135	135
18	Marc Jacobs	MARC 227, 1N5	53	16	145	135
19	Marc Jacobs	MARC 142, CSA	55	16	145	140
20	Marc By Marc Jacobs	Оправа Marc by Marc Jacobs MMJ 511 XMM	51	16	140	130
21	Marc By Marc Jacobs	Оправа Marc by Marc Jacobs MMJ 511 XMN	51	16	140	129
22	Pierre Cardin	PC 6245, PJP	56	17	150	140
23	Yves Saint Laurent	YSL 6281, 05L	55	16	140	135
24	Yves Saint Laurent	YSL 6342, PP5	60	17	135	129
25	Hoya	NULUX EYVIA 1.74 HVLL E				
26	Hoya	NULUX EYNOA 1.67 SHV (E.)				
27	Hoya	NULUX 1.60 SHV (E.)				
28	Hoya	NULUX 1.60 HVLL				
29	Hoya	NULUX PNX 1.53 HVA E				
30	Alexander Mcqueen	AMQ 4188/S, D0C	62	14	135	145
31	Carrera	CARRERA 6000/JC, 3SU	50	23	145	140
32	Gucci	GG 3613/S, 6EX	65	14	135	140
33	Juicy Couture	JU 559/S, 816	51	20	140	145
34	Marc By Marc Jacobs	MMJ 233/S, O0V	56	15	135	135
35	Marc By Marc Jacobs	MMJ 280/S, XO6	57	15	135	135
36	Max&amp;co	MAX&amp;CO 205/S, 1MI	54	18	140	130
37	Max&amp;co	MAX&amp;CO 184/S, 72M	55	15	140	140
38	Marc Jacobs	MARC 290, 71C	55	17	145	137
39	Autre Kids	AF - 3019-1B c.4	45	17	130	123
40	View	Очки для плавания VIEW VC-580				
41	Giorgio Armani	GA 890, XZW	53	16	135	135
42	Giorgio Armani	GA 941, 086	53	14	140	130
43	Emporio Armani	EA 3170-5063	55	18	140	144
44	Emporio Armani	EA 9870, PDC	51	16	145	130
45	Gucci	GG 3825 KCL	52	17	140	130
46	Juicy Couture	SPLASHBACK V05	49	17	135	128
47	Yves Saint Laurent	YSL 6382, 086	53	17	135	135
48	Pierre Cardin	PC 6231, 807	57	18	145	145
49	Pierre Cardin	PC 6876, R80	57	20	150	147
50	Blue Bay	B&amp;B 869, GPS	50	14	135	128
51	Yves Saint Laurent	YSL 6373/S, LHF	56	17	135	140
52	William Morris	CHER C2	53	17	143	142
53	Fisher Price Kids	FPVN016 BLK (50)	50	15	135	122
54	Fisher Price Kids	FPVN020 BLUE (49)	49	19	130	128
55	Fisher Price Kids	FPVN018 GRY (47)	47	15	130	121
56	Pierre Cardin	PC 6852, 09Q	54	17	150	136
57	Blue Bay	B&amp;B 885/S, RQE	53	17	135	130
58	Giorgio Armani	GA 946/S 7U5	46	26	135	130
59	Yves Saint Laurent	YSL 6358/S, M67	57	15	135	145
60	Yves Saint Laurent	YSL 6358/S, EHF	57	15	135	140
61	You's	Оправа You'S 931-01	52	18	140	135
62	You's	Оправа You'S 927-203	54	19	140	140
63	You's	Оправа You'S 764 - 205	55	18	140	135
64	You's	Оправа You'S 911 - 100	53	18	135	135
65	You's	Оправа You'S 744 - 31	51	16	135	130
66	You's	Оправа You'S 688 - 100	47	18	140	125
67	You's	Оправа You'S 873 - 21	52	17	135	130
68	You's	Оправа You'S 786 - 205	52	18	140	130
69	You's	Оправа You'S 980 - 61	54	18	140	135
70	You's	Оправа You'S 764 - 12	51	16	135	130
71	You's	Оправа You'S 907 - 09	54	18	140	135
72	You's	Оправа You'S 696 - 100	50	18	135	125
73	De Stijl	Оправа DeStijl, S1620 (без футляра)	54	15	140	140
74	De Stijl	Оправа DeStijl, S1715 (без футляра)	55	17	140	145
75	Fisher Price Kids	FPVN009 PTL (47)	47	15	120	121
76	Fisher Price Kids	FPCL005 YLW (46)	46	17	130	123
77	Jaguar	Оправа JAGUAR 3372-007	51	19	140	140
78	Giorgio Armani	GA 962/S 807	51	19	140	140
79	Giorgio Armani	GA 960/S BMX	56	17	140	140
80	Giorgio Armani	GA 847/S JIN	60	11	135	140
81	Eyelet Kids	Оправа EYELET, EJ135 A1	47	16	128	120
82	Demetz	TRANSLATIO HAD19-00242 (5816)	58	16	120	145
83	Liberty Sport	MAXX-31 SHNB (5317L)	53	17	строп	140
84	Liberty Sport	MAXX-31 PLSI (5520)	55	20	страп	145
85	You's	Оправа You'S 936 - 205	54	18	140	140
86	You's	Оправа You'S 980 - 203	54	18	140	140
87	You's	Оправа You'S 744 - 15	51	16	135	130
88	You's	Оправа You'S 744 - 61	51	16	135	130
89	Pal Zileri	PZ 60047, C02	55	16	140	145
90	De Stijl	De Stijl   S2744 (без футляра)	56	16	140	145
91	Gucci	GG 2235/S, KJ1	59	13	145	140
92	Porsche Design	A	65	16	140	145
93	Prada	04P MA5-5F1	54	19	140	140
94	Prada	05P RO1-1A1	55	20	140	140
95	Tom Ford	TF 289, 52H	57	15	140	145
96	Emilio Pucci	EP 2690 278	52	16	135	135
97	Tom Ford	TF 5412-052	52	17	140	135
98	Tom Ford	TF 5514-052	54	15	140	130
99	Tom Ford	TF 5455-056	52	20	145	135
100	Rodenstock	A	54	16	135	130
101	Rodenstock	A	55	17	135	140
102	Rodenstock	B	55	17	135	130
103	Rodenstock	B	62	16	135	145
104	Calvin Klein	CK 3156S 075	54	16	135	140
105	Calvin Klein	CK 4250S 379	56	17	140	140
106	Calvin Klein	CK 1198S 264	52	19	135	140
107	Calvin Klein	CKJ 719S 404	48	21	140	135
108	Calvin Klein	CKJ 719S 300	48	21	140	135
109	Calvin Klein	CKJ 733S 405	52	24	140	145
110	Calvin Klein	CKJ 419S 704	61	14	135	145
111	Calvin Klein	CKJ 419S 300	61	14	135	145
112	Calvin Klein	CKJ 419S 001	61	14	135	145
113	Calvin Klein	CKJ 414S 700	60	12	135	140
114	Calvin Klein	CK 5417 042	54	19	140	140
115	Polaroid	PLD D439/G, 2M2	52	21	145	138
116	Eyelet Kids	Оправа EYELET, EJ135 A7	47	16	125	120
117	Eyelet Kids	Оправа EYELET, EJ11B A28	48	15	128	120
118	Eyelet Kids	Оправа EYELET, EJ137 A6	47	17	125	120
119	Polaroid	S8157 B	42	16	140	140
120	Balmain	BL 2000 03	59	17	135	145
121	Balmain	BL 2042 01	60	15	135	140
122	Porsche Design	B	55	15	140	140
123	Odd Molly	M212-9331 DK	53	19	125	140
124	Odd Molly	M30-9313 DK	54	19	130	135
125	Odd Molly	GENTLEWOMAN 2 OM2	56	15	130	140
126	Odd Molly	MEITNER 2 DK ROUCE	54	15	125	135
127	Fendi	FF 0023, 7UU	50	19	140	140
128	Hoya	NULUX EYNOA 1.67 SHV				
129	Hoya	NULUX EYNOA 1.67 HVLL				
130	Hoya	NULUX 1.6 HVA				
131	Hoya	NULUX 1.6 HVLL (E)				
132	Hoya	NULUX 1.6 SHV				
133	Hoya	NULUX 1.5 HVA				
134	Hoya	HILUX EYNOA 1.67 HVLL				
135	Hoya	HILUX EYNOA 1.67 SHV				
136	Rodenstock (линзы)	Очковая линза RODENSTOCK, Perfalit 1.5 Solitaire Protect Plus 2				
137	Rodenstock (линзы)	Очковая линза RODENSTOCK, Perfalit 1.6 Solitaire Protect 2				
138	Rodenstock (линзы)	Очковая линза RODENSTOCK, Perfalit 1.6 Solitaire Protect 2 (astigmatism)				
139	Hoya	HILUX EYAS 1.6 HVLL				
140	Rodenstock (линзы)	Очковая линза RODENSTOCK, Cosmolit 1.67 Solitaire Protect Plus 2				
141	Rodenstock (линзы)	Очковая линза RODENSTOCK, Cosmolit 1.67 Solitaire Protect Plus 2 (astigmatism)				
142	Hoya	HILUX EYAS 1.6 SHV				
143	Rodenstock (линзы)	Очковая линза RODENSTOCK, Cosmolit 1.6 Solitaire Protect Plus 2				
144	Rodenstock (линзы)	Очковая линза RODENSTOCK, Cosmolit 1.74 Solitaire Protect Plus 2				
145	Rodenstock (линзы)	Очковая линза RODENSTOCK, Perfalit ColorMatic 1.54 IQ Solitaire Protect Plus 2 Brown				
146	Rodenstock (линзы)	Очковая линза RODENSTOCK, Perfalit ColorMatic IQ 1.54 Solitaire Protect Plus 2 Grey				
147	Fisher Price Kids	FPVN025 BLK (50)	50	14	130	120
148	Hoya	NULUX EYNOA 1.67 HVLL E				
149	Hoya	HILUX PNX 1.53 HVA				
150	Hoya	HILUX PNX 1.53 SHV				
151	Rodenstock (линзы)	Очковая линза RODENSTOCK, Organic 1.5				
152	Rodenstock (линзы)	Очковая линза RODENSTOCK, Organic 1.5 HCAR				
153	Rodenstock (линзы)	Очковая линза RODENSTOCK, SV Organic 1.5 hard Super AR + Blue				
