,brand,model,raw_model,category,lens_width,nose_bridge,temple_length,frame_width
0,Balenciaga,"BAL 0108, 8O0",BAL01088O0,Женские оправы для очков,55,16,140,128
1,Carrera,"CA 6660, VBP",CA6660VBP,Женские оправы для очков,48,22,145,130
2,Emporio Armani,EA 3173-5017,EA31735017,Женские оправы для очков,53,17,140,135
3,Marc Jacobs,"MJ 370, 086",MJ370086,Женские оправы для очков,53,18,140,135
4,Maxmara,"MM 1418, 000",MM1418000,Женские оправы для очков,57,17,140,133
5,Marc By Marc Jacobs,MMJ 488 9O5,MMJ4889O5,Женские оправы для очков,54,16,135,135
6,Marc Jacobs,"MARC 227, 1N5",MARC2271N5,Женские оправы для очков,53,16,145,135
7,Marc By Marc Jacobs,MMJ 511 XMM,MMJ511XMM,Женские оправы для очков,51,16,140,130
8,Marc By Marc Jacobs,MMJ 511 XMN,MMJ511XMN,Женские оправы для очков,51,16,140,129
9,Yves Saint Laurent,"YSL 6281, 05L",YSL628105L,Женские оправы для очков,55,16,140,135
10,Yves Saint Laurent,"YSL 6342, PP5",YSL6342PP5,Женские оправы для очков,60,17,135,129
11,Giorgio Armani,"GA 890, XZW",GA890XZW,Женские оправы для очков,53,16,135,135
12,Giorgio Armani,"GA 941, 086",GA941086,Женские оправы для очков,53,14,140,130
13,Emporio Armani,"EA 9870, PDC",EA9870PDC,Женские оправы для очков,51,16,145,130
14,Gucci,GG 3825 KCL,GG3825KCL,Женские оправы для очков,52,17,140,130
15,Juicy Couture,SPLASHBACK V05,SPLASHBACKV05,Женские оправы для очков,49,17,135,128
16,Blue Bay,"B&B 869, GPS",BB869GPS,Женские оправы для очков,50,14,135,128
17,William Morris,CHER C2,CHERC2,Женские оправы для очков,53,17,143,142
18,You's,931-01,93101,Женские оправы для очков,52,18,140,135
19,You's,764 - 205,764205,Женские оправы для очков,55,18,140,135
20,You's,911 - 100,911100,Женские оправы для очков,53,18,135,135
21,You's,744 - 31,74431,Женские оправы для очков,51,16,135,130
22,You's,688 - 100,688100,Женские оправы для очков,47,18,140,125
23,You's,873 - 21,87321,Женские оправы для очков,52,17,135,130
24,You's,764 - 12,76412,Женские оправы для очков,51,16,135,130
25,You's,696 - 100,696100,Женские оправы для очков,50,18,135,125
26,You's,936 - 205,936205,Женские оправы для очков,54,18,140,140
27,You's,744 - 15,74415,Женские оправы для очков,51,16,135,130
28,You's,744 - 61,74461,Женские оправы для очков,51,16,135,130
